Total word count
    5064

Unique word count
    1009

Interesting word count
     727

Word Density

  59 baltic
  40 edition
  35 artist
  34 print
  32 your
  25 high
  24 limited
  23 made
  22 design
  21 signed
  21 box
  20 gift
  18 style
  18 designer
  17 stands
  17 shaw
  17 prints
  17 numbered
  17 designers
  16 part
  16 black
  16 available
  15 range
  15 designed
  14 ideal
  14 george
  14 commissioned
  13 porcelain
  13 moomin
  13 holds
  13 based
  12 stylish
  12 soft
  12 series
  12 produced
  12 japanese
  12 blum
  11 plush
  11 make
  11 kozyndan
  11 designs
  10 seletti
  10 plate
  10 most
  10 material
  10 includes
  10 features
  10 exhibited
  10 classic
   9 using
   9 together
   9 rob
   9 pot
   9 paper
   9 not
   9 measures
   9 makes
   9 just
   9 image
   9 exhibition
   9 enamel
   9 desirable
   9 beautiful
   8 wilkinson
   8 welivehere
   8 water
   8 tall
   8 tableware
   8 stand
   8 shop
   8 ryan
   8 quality
   8 park
   8 online
   8 newcastle
   8 lovely
   8 loop
   8 litho
   8 jonathan
   8 hanna
   8 danish
   8 combines
   8 children
   8 carter
   8 car
   8 can
   8 buy
   8 bottle
   8 blomst
   8 be
   8 angel
   7 white
   7 two
   7 turner
   7 takashi
   7 table
   7 prize
   7 pots
   7 plates
   7 piece
   7 perfect
   7 own
   7 murakami
   7 martin
   7 life
   7 dan
   7 cute
   7 colour
   6 work
   6 steel
   6 sold
   6 shipped
   6 poster
   6 popular
   6 pair
   6 paintings
   6 our
   6 offset
   6 off
   6 north
   6 noodles
   6 new
   6 mugs
   6 little
   6 like
   6 jar
   6 home
   6 form
   6 fork
   6 everyday
   6 ever
   6 each
   6 china
   6 certificate
   6 bone
   6 birthday
   6 beautifully
   6 away
   6 authenticity
   6 artists
   5 yet
   5 up
   5 unique
   5 trent
   5 throw
   5 take
   5 susan
   5 stoke
   5 stick
   5 single
   5 satin
   5 recycled
   5 product
   5 printed
   5 other
   5 objects
   5 number
   5 need
   5 mug
   5 more
   5 love
   5 italian
   5 illustrated
   5 here
   5 good
   5 fun
   5 four
   5 featuring
   5 fans
   5 cup
   5 created
   5 ceramic
   5 cardboard
   5 bunnies
   5 bradley
   5 assemble
   5 arrives
   4 was
   4 tin
   4 that
   4 tea
   4 tatty
   4 tap
   4 superflat
   4 sugar
   4 slot
   4 simply
   4 silver
   4 side
   4 set
   4 season
   4 seal
   4 sculptural
   4 saucer
   4 room
   4 romantic
   4 reducing
   4 quick
   4 purifies
   4 present
   4 pop
   4 pieces
   4 ph
   4 papercut
   4 outdoor
   4 orla
   4 no
   4 mr
   4 movement
   4 mineralising
   4 mdf
   4 manufactured
   4 lunch
   4 lid
   4 landscape
   4 kit
   4 kiely
   4 keep
   4 jug
   4 italy
   4 inner
   4 how
   4 homeware
   4 holding
   4 handy
   4 handcrafted
   4 gin
   4 gilbert
   4 germany
   4 fruit
   4 friends
   4 french
   4 feel
   4 familiar
   4 eggs
   4 egg
   4 eau
   4 devine
   4 day
   4 come
   4 clock
   4 chlorine
   4 chiho
   4 charcoal
   4 carton
   4 bunny
   4 breaking
   4 bookend
   4 binchotan
   4 balancing
   4 art
   4 aoshima
   4 active
   3 years
   3 would
   3 won
   3 westergaard
   3 wall
   3 very
   3 vase
   3 uses
   3 use
   3 unseen
   3 twist
   3 treat
   3 traditional
   3 tile
   3 tight
   3 throughout
   3 there
   3 than
   3 takes
   3 sushi
   3 super
   3 striped
   3 standard
   3 stainless
   3 st
   3 srap
   3 spiral
   3 specially
   3 souvenir
   3 somerset
   3 small
   3 sly
   3 sketch
   3 sit
   3 seperates
   3 separate
   3 see
   3 sculptures
   3 screenprinted
   3 scene
   3 sauce
   3 salad
   3 proudly
   3 prolific
   3 previously
   3 practical
   3 polly
   3 plant
   3 petal
   3 people
   3 pattern
   3 paperback
   3 orange
   3 often
   3 notebooks
   3 nominee
   3 nominated
   3 nd
   3 mounted
   3 modern
   3 microwaving
   3 matter
   3 masterpiece
   3 lush
   3 luchtime
   3 london
   3 locks
   3 locally
   3 lithographic
   3 launched
   3 last
   3 large
   3 jim
   3 individual
   3 images
   3 hill
   3 highlight
   3 her
   3 haunting
   3 hand
   3 ground
   3 grey
   3 green
   3 glass
   3 gives
   3 geordies
   3 geordie
   3 gardener
   3 friend
   3 former
   3 finish
   3 film
   3 fabulous
   3 exclusive
   3 everywhere
   3 estate
   3 editions
   3 echoes
   3 easy
   3 dish
   3 diameter
   3 depicts
   3 coventry
   3 cotton
   3 continuous
   3 comprehensive
   3 coated
   3 clever
   3 childhood
   3 chart
   3 carrying
   3 candles
   3 candleabra
   3 brew
   3 bowl
   3 bound
   3 both
   3 beauty
   3 atmosphere
   3 aritst
   3 appetit
   3 always
   3 after
   2 world
   2 words
   2 winter
   2 whose
   2 while
   2 when
   2 well
   2 ways
   2 watch
   2 versions
   2 verschaere
   2 used
   2 university
   2 turns
   2 toy
   2 top
   2 tools
   2 think
   2 then
   2 th
   2 texture
   2 techniques
   2 talian
   2 summer
   2 sturdy
   2 store
   2 storage
   2 stately
   2 stamp
   2 speckled
   2 special
   2 snugly
   2 smooth
   2 singly
   2 simple
   2 signature
   2 short
   2 shirt
   2 shiny
   2 she
   2 sculpture
   2 screen
   2 sally
   2 sadly
   2 rusty
   2 run
   2 robust
   2 robert
   2 rinse
   2 rim
   2 residence
   2 red
   2 real
   2 radical
   2 quirky
   2 push
   2 pulled
   2 printing
   2 pp
   2 poore
   2 playful
   2 pink
   2 pencils
   2 pages
   2 packed
   2 out
   2 ordinary
   2 northumbria
   2 nina
   2 nice
   2 necklace
   2 mugl
   2 milky
   2 milk
   2 members
   2 medium
   2 measuring
   2 matching
   2 makers
   2 major
   2 look
   2 ll
   2 lithograph
   2 likes
   2 levinson
   2 lens
   2 label
   2 kiki
   2 kaikai
   2 jon
   2 jarema
   2 itself
   2 intothe
   2 into
   2 institute
   2 inspired
   2 influential
   2 impressive
   2 humble
   2 history
   2 half
   2 great
   2 gormley
   2 go
   2 glue
   2 gateshead
   2 founding
   2 flat
   2 fits
   2 first
   2 films
   2 favourite
   2 famous
   2 face
   2 fabien
   2 eyes
   2 eyebrows
   2 extra
   2 expressive
   2 exhibitor
   2 exclusively
   2 everyone
   2 every
   2 embroidered
   2 east
   2 duke
   2 dozen
   2 desired
   2 decoration
   2 decorate
   2 decanter
   2 dear
   2 cycle
   2 currently
   2 cups
   2 culture
   2 create
   2 contrasting
   2 contemporary
   2 container
   2 considered
   2 comic
   2 collective
   2 cold
   2 coffee
   2 chrome
   2 catalogue
   2 captured
   2 cannot
   2 builders
   2 brought
   2 bring
   2 breer
   2 breakfast
   2 branded
   2 books
   2 bookends
   2 blue
   2 birdhouse
   2 bell
   2 barrel
   2 back
   2 around
   2 appears
   2 appealing
   2 animator
   2 amy
   2 american
   2 adornment
   2 add
   2 acrylic
   1 yorkshire
   1 yoko
   1 yellow
   1 wrapped
   1 worth
   1 works
   1 wood
   1 woman
   1 within
   1 wingspan
   1 windows
   1 why
   1 whopping
   1 whitby
   1 what
   1 west
   1 were
   1 welcoming
   1 watercolours
   1 waterbased
   1 war
   1 w
   1 visual
   1 visitors
   1 villages
   1 videos
   1 vermillion
   1 ve
   1 vary
   1 varnishing
   1 valve
   1 uprisings
   1 ukranian
   1 ukraine
   1 typically
   1 tyneside
   1 tyne
   1 twenty
   1 tumbling
   1 tube
   1 trip
   1 trees
   1 tree
   1 transparent
   1 transform
   1 toxic
   1 tony
   1 title
   1 times
   1 tidy
   1 through
   1 those
   1 thermo
   1 them
   1 text
   1 teatime
   1 teas
   1 symbols
   1 sweeten
   1 sweet
   1 survey
   1 sure
   1 support
   1 supplied
   1 suede
   1 substainable
   1 subject
   1 stock
   1 stell
   1 star
   1 spy
   1 spring
   1 spout
   1 spoon
   1 spirit
   1 solution
   1 solography
   1 smith
   1 slogan
   1 sixties
   1 sinister
   1 singley
   1 silicon
   1 sharpener
   1 shade
   1 several
   1 seven
   1 selab
   1 seen
   1 seconds
   1 seasons
   1 seaside
   1 seas
   1 sea
   1 school
   1 scandinavian
   1 scale
   1 say
   1 save
   1 same
   1 salt
   1 safe
   1 rubber
   1 routemaster
   1 robryan
   1 roberta
   1 river
   1 reviews
   1 reverse
   1 retro
   1 reproductions
   1 rene
   1 remade
   1 recurrent
   1 record
   1 ready
   1 reading
   1 read
   1 re
   1 rack
   1 r
   1 public
   1 provide
   1 produce
   1 processing
   1 potsgive
   1 portable
   1 plenty
   1 playtime
   1 play
   1 plastic
   1 planets
   1 planet
   1 plain
   1 placed
   1 pinhole
   1 picnic
   1 photographs
   1 pewter
   1 peter
   1 person
   1 pepper
   1 pens
   1 pennies
   1 pencil
   1 peculiar
   1 payne
   1 panoramic
   1 page
   1 overview
   1 outfit
   1 oursler
   1 others
   1 originally
   1 order
   1 opened
   1 ono
   1 only
   1 november
   1 novelist
   1 notes
   1 non
   1 neverland
   1 neon
   1 named
   1 myth
   1 mural
   1 munky
   1 much
   1 mouth
   1 mountst
   1 mountain
   1 morris
   1 moon
   1 moneybox
   1 moderns
   1 mixed
   1 mirrored
   1 minimalism
   1 mini
   1 miller
   1 mike
   1 microwave
   1 michael
   1 metalic
   1 message
   1 memo
   1 measure
   1 matt
   1 match
   1 mark
   1 making
   1 majesty
   1 magnetic
   1 magazine
   1 m
   1 loves
   1 los
   1 lolly
   1 llustrated
   1 lloyd
   1 liquid
   1 linocuts
   1 less
   1 latest
   1 late
   1 larks
   1 lake
   1 kozyndanthis
   1 kitchen
   1 king
   1 key
   1 kelley
   1 keith
   1 karla
   1 john
   1 james
   1 intricate
   1 internationally
   1 interlinked
   1 inspred
   1 inks
   1 influence
   1 including
   1 included
   1 improved
   1 important
   1 impart
   1 immediately
   1 imaginations
   1 if
   1 iconic
   1 hundred
   1 house
   1 hours
   1 hot
   1 homeand
   1 holes
   1 hole
   1 holdsworth
   1 hold
   1 hobbs
   1 hints
   1 him
   1 hilary
   1 highly
   1 helens
   1 height
   1 heart
   1 handle
   1 h
   1 gsm
   1 grover
   1 group
   1 greet
   1 grand
   1 graham
   1 graduated
   1 gold
   1 glow
   1 gloss
   1 glassbottle
   1 give
   1 giclee
   1 giant
   1 geometry
   1 generation
   1 gas
   1 garden
   1 gamble
   1 funky
   1 full
   1 free
   1 franklin
   1 fourteen
   1 forgetful
   1 forests
   1 foot
   1 folklore
   1 folk
   1 focus
   1 flowing
   1 flower
   1 flip
   1 flask
   1 flare
   1 fixed
   1 five
   1 fine
   1 fiction
   1 fibre
   1 few
   1 featured
   1 feature
   1 feather
   1 faux
   1 fantastic
   1 fallen
   1 fairy
   1 exposure
   1 exhibitionat
   1 exhhibitor
   1 exciting
   1 excellent
   1 essential
   1 essay
   1 erection
   1 enough
   1 emission
   1 edge
   1 during
   1 drinking
   1 drink
   1 drawings
   1 doorstop
   1 doormat
   1 door
   1 dolphin
   1 divine
   1 distinctive
   1 distance
   1 displays
   1 dishwasher
   1 dinner
   1 dining
   1 didn
   1 detrius
   1 dessert
   1 desk
   1 designershave
   1 delivered
   1 dearnewcastle
   1 deargateshead
   1 days
   1 dark
   1 dance
   1 daffodil
   1 d
   1 cushion
   1 cufflinks
   1 cuff
   1 crests
   1 crescendo
   1 creation
   1 cover
   1 could
   1 cork
   1 construction
   1 concerns
   1 complete
   1 colourway
   1 colourful
   1 collectors
   1 collaboration
   1 coincided
   1 coincide
   1 coating
   1 coast
   1 chromed
   1 christmas
   1 chain
   1 ceramics
   1 celebrate
   1 catchphrase
   1 cartoon
   1 capturing
   1 candesign
   1 camera
   1 california
   1 button
   1 but
   1 bus
   1 burgermans
   1 brooch
   1 britain
   1 brings
   1 brilliant
   1 breath
   1 bracewell
   1 boyce
   1 book
   1 bonham
   1 bold
   1 bob
   1 blends
   1 biscuit
   1 birds
   1 biggest
   1 benefit
   1 bedside
   1 because
   1 battle
   1 base
   1 band
   1 baby
   1 award
   1 autumn
   1 attached
   1 assembled
   1 arts
   1 articles
   1 antony
   1 anthony
   1 ant
   1 angeles
   1 amount
   1 america
   1 alternative
   1 alongside
   1 almost
   1 allows
   1 alarm
   1 airtight
   1 affirming
   1 accompany
   1 about
