Keyword,Visits,Pages / Visit,Avg. Visit Duration,% New Visits,Bounce Rate
(not provided),209,7.03,00:03:27,72.73%,30.14%
baltic shop,136,13.42,00:05:01,58.82%,13.97%
george shaw prints,30,6.57,00:02:31,73.33%,30.00%
grayson perry scarf,28,1.21,00:00:02,96.43%,92.86%
the baltic shop,13,12,00:05:54,46.15%,0.00%
baltic gallery shop,12,12.25,00:04:20,83.33%,8.33%
baltic mill shop,11,18.45,00:05:57,81.82%,9.09%
baltic shop online,10,6.6,00:01:27,90.00%,20.00%
baltic shop newcastle,9,21.89,00:09:11,77.78%,0.00%
baltic art gallery shop,7,14.57,00:08:05,71.43%,0.00%
baltic gift shop,7,31.14,00:10:33,71.43%,0.00%
baltic bookshop,6,3.5,00:00:19,100.00%,50.00%
baltic products,6,5.67,00:07:40,83.33%,0.00%
frida kahlo necklace tatty devine,6,4.33,00:01:42,16.67%,66.67%
angel of the north gifts,5,10.8,00:03:27,100.00%,20.00%
baltic mugs,5,15.6,00:03:06,80.00%,0.00%
baltic prints,5,9.4,00:03:27,80.00%,0.00%
grayson perry gifts,5,3.2,00:00:29,100.00%,60.00%
angel of the north keyring,4,5.5,00:02:37,100.00%,25.00%
angel of the north necklace,4,2.5,00:00:27,100.00%,50.00%
angel of the north ornament,4,1.5,00:00:23,100.00%,75.00%
angel of the north shop,4,11.75,00:03:16,75.00%,50.00%
baltic online shop,4,16.75,00:03:45,75.00%,0.00%
buy george shaw prints,4,5,00:01:10,100.00%,25.00%
george shaw paintings for sale,4,6,00:00:58,100.00%,25.00%
kozyndan bunny blossom baltic,4,1.75,00:00:22,0.00%,50.00%
tyneside prints,4,1.75,00:00:27,75.00%,50.00%
yoko ono toilet thoughts poster,4,3,00:02:07,25.00%,25.00%
angel of the north badge,3,1.33,00:00:11,100.00%,66.67%
angel of the north book end,3,7.67,00:05:20,33.33%,0.00%
angel of the north keyrings,3,5.67,00:02:25,0.00%,33.33%
angel of the north merchandise,3,4.33,00:00:46,100.00%,33.33%
angel of the north push up toy,3,2.67,00:01:23,0.00%,66.67%
baltic art shop,3,16.67,00:04:38,100.00%,0.00%
baltic flour mill shop,3,18.33,00:07:43,100.00%,0.00%
baltic museum shop,3,11.33,00:05:42,66.67%,33.33%
balticshop,3,2.67,00:01:06,100.00%,66.67%
grayson perry silk scarf,3,1,00:00:00,100.00%,100.00%
harland miller print,3,1.33,00:00:02,66.67%,66.67%
mr dob,3,7.67,00:02:29,0.00%,0.00%
push up collapsible wooden toys,3,4,00:00:48,100.00%,66.67%
rob ryan ceramics,3,1,00:00:00,100.00%,100.00%
tatty devine 3d glasses,3,1,00:00:00,100.00%,100.00%
tatty devine frida kahlo brooch,3,6.33,00:03:49,66.67%,33.33%
the baltic shop gateshead,3,11.33,00:03:14,66.67%,0.00%
why aye pet mug,3,51,00:11:58,100.00%,0.00%
angel of the north baltic,2,7,00:01:18,100.00%,0.00%
angel of the north collapsing toy,2,37.5,00:18:51,50.00%,0.00%
angel of the north gift shop,2,5,00:00:52,50.00%,0.00%
angel of the north souvenirs,2,5.5,00:01:13,100.00%,0.00%
angel of the north toy,2,4.5,00:00:52,100.00%,50.00%
baby lapin night light baltic,2,1.5,00:02:03,50.00%,50.00%
baltic angel of the north,2,7,00:00:59,100.00%,0.00%
baltic george shaw,2,20.5,00:28:09,50.00%,0.00%
baltic murakami,2,1.5,00:00:06,0.00%,50.00%
baltic newcastle shop,2,25,00:07:09,100.00%,0.00%
baltic online,2,6,00:01:24,50.00%,50.00%
baltic posters,2,3.5,00:00:25,100.00%,50.00%
baltic sho,2,9,00:00:41,100.00%,0.00%
baltic shop flow,2,1,00:00:00,50.00%,100.00%
baltic shop murakami,2,13,00:09:27,50.00%,50.00%
baltic shop prints,2,7,00:00:41,50.00%,50.00%
baltic shop seletti sugar,2,14.5,00:17:05,0.00%,0.00%
bunny blossom poster baltic,2,1.5,00:00:03,50.00%,50.00%
dear gateshead picture,2,14.5,00:05:01,50.00%,50.00%
dear newcastle sally poore,2,1,00:00:00,100.00%,100.00%
george shaw,2,1.5,00:00:01,100.00%,50.00%
george shaw artist prints,2,5,00:01:07,100.00%,50.00%
george shaw limited edition print,2,16,00:07:28,50.00%,0.00%
george shaw print,2,9.5,00:04:07,100.00%,0.00%
george shaw prints for sale,2,2.5,00:00:28,100.00%,0.00%
grayson perry scarves,2,1,00:00:00,50.00%,100.00%
grayson perry silk scarves,2,1,00:00:00,100.00%,100.00%
harland miller prints,2,1,00:00:00,100.00%,100.00%
jim shaw baltic edition,2,1.5,00:00:09,0.00%,50.00%
jim shaw poster,2,9.5,00:05:36,100.00%,0.00%
jim shaw posters,2,3,00:09:26,0.00%,0.00%
jim shaw the rinse cycle,2,1.5,00:00:04,0.00%,50.00%
kozyndan prints,2,4,00:08:49,100.00%,50.00%
kozyndan uprisings,2,10,00:07:09,50.00%,50.00%
miho his majesty,2,1,00:00:00,50.00%,100.00%
miss van oldie 3,2,1.5,00:03:16,0.00%,50.00%
paper castle,2,1.5,00:00:02,100.00%,50.00%
rob ryan,2,2.5,00:00:19,100.00%,0.00%
seletti gold egg tray,2,2.5,00:00:54,50.00%,50.00%
shop.balticmills.com,2,3,00:00:30,50.00%,50.00%
tatty devine swinging girl necklace,2,1,00:00:00,100.00%,100.00%
the baltic gift shop,2,4.5,00:00:46,50.00%,50.00%
the baltic shop jewellery,2,3,00:00:25,0.00%,0.00%
the sly and unseen day,2,4.5,00:03:01,100.00%,0.00%
wey aye pet mug,2,1,00:00:00,50.00%,100.00%
why aye pet mug baltic,2,1,00:00:00,0.00%,100.00%
"""angel of the north"" christmas decoration",1,1,00:00:00,100.00%,100.00%
"""angel of the north"" gift",1,34,00:21:51,100.00%,0.00%
"""george shaw baltic",1,6,00:01:17,100.00%,0.00%
50s glasses,1,17,00:01:13,100.00%,0.00%
alice melvin bird poster,1,6,00:00:21,100.00%,0.00%
allium ceiling light,1,1,00:00:00,100.00%,100.00%
andrea zittel artist at the baltic,1,2,00:00:01,100.00%,0.00%
angel keyrings,1,1,00:00:00,100.00%,100.00%
angel north hifts,1,1,00:00:00,100.00%,100.00%
angel north push up toy,1,10,00:08:33,0.00%,0.00%
angel of north baltic christmas decoration,1,2,00:00:22,100.00%,0.00%
angel of the north,1,2,00:00:20,100.00%,0.00%
angel of the north art prints,1,1,00:00:00,100.00%,100.00%
angel of the north book,1,19,00:17:46,0.00%,0.00%
angel of the north bookends,1,1,00:00:00,100.00%,100.00%
angel of the north chain,1,1,00:00:00,100.00%,100.00%
angel of the north christmas ornament,1,1,00:00:00,100.00%,100.00%
angel of the north christmas tree decoration,1,3,00:00:45,100.00%,0.00%
angel of the north for christmas trees,1,3,00:00:40,100.00%,0.00%
angel of the north pin badge,1,2,00:00:23,100.00%,0.00%
angel of the north print,1,1,00:00:00,0.00%,100.00%
angel of the north prints,1,3,00:00:38,100.00%,0.00%
angel of the north products,1,6,00:03:39,0.00%,0.00%
angel of the north tea towel,1,1,00:00:00,100.00%,100.00%
angel of the north top of tree,1,17,00:02:54,100.00%,0.00%
angel of the north wooden toy,1,1,00:00:00,100.00%,100.00%
angel of the north xmas tree,1,4,00:00:38,0.00%,0.00%
angel of the north xmas tree baltic,1,1,00:00:00,100.00%,100.00%
angel of the north-keyring,1,15,00:03:08,100.00%,0.00%
angela of the north gifts,1,1,00:00:00,100.00%,100.00%
art angel pin enamel,1,1,00:00:00,100.00%,100.00%
art of cardboard clock,1,2,00:00:07,100.00%,0.00%
art prints on products,1,8,00:01:18,100.00%,0.00%
b.square! limited edition t shirt baltic mill,1,1,00:00:00,100.00%,100.00%
baby lapin night light uk,1,1,00:00:00,0.00%,100.00%
bad skateboarders tshirt baltic,1,4,00:00:34,100.00%,0.00%
baltic angel north tree,1,5,00:00:33,100.00%,0.00%
baltic angel tree top,1,1,00:00:00,0.00%,100.00%
baltic art,1,1,00:00:00,100.00%,100.00%
baltic art gallery art shop,1,43,00:18:43,100.00%,0.00%
baltic art prints,1,1,00:00:00,0.00%,100.00%
baltic arts seletti egg holder,1,7,00:03:29,100.00%,0.00%
baltic bento box,1,11,00:01:00,100.00%,0.00%
baltic bookend,1,3,00:01:39,100.00%,0.00%
baltic boookshop,1,11,00:02:46,100.00%,0.00%
baltic centre shop,1,33,00:16:16,100.00%,0.00%
baltic china shop,1,4,00:00:50,100.00%,0.00%
baltic dear gateshead,1,1,00:00:00,0.00%,100.00%
baltic dhop,1,14,00:01:13,0.00%,0.00%
baltic flour mill shops,1,9,00:02:23,100.00%,0.00%
baltic flour shop,1,36,00:05:04,100.00%,0.00%
baltic gallery dwg,1,1,00:00:00,100.00%,100.00%
baltic galllery shop,1,1,00:00:00,0.00%,100.00%
baltic gateshead limited edition print,1,2,00:01:28,100.00%,0.00%
baltic geordie mug,1,13,00:07:24,0.00%,0.00%
baltic george shaw sly day,1,14,00:11:48,0.00%,0.00%
baltic gifts,1,5,00:01:54,100.00%,0.00%
baltic lights,1,1,00:00:00,100.00%,100.00%
baltic miho bird house,1,4,00:00:12,100.00%,0.00%
baltic mill on line shop,1,3,00:07:22,0.00%,0.00%
baltic mill shop online,1,17,00:05:19,100.00%,0.00%
baltic mills art,1,23,00:06:19,100.00%,0.00%
baltic millshop,1,8,00:01:22,0.00%,0.00%
baltic mug,1,32,00:10:07,100.00%,0.00%
baltic mug tyne,1,1,00:00:00,0.00%,100.00%
baltic notebook,1,1,00:00:00,100.00%,100.00%
baltic place shop,1,1,00:00:00,100.00%,100.00%
baltic poster,1,1,00:00:00,100.00%,100.00%
baltic procucts on line,1,10,00:01:17,100.00%,0.00%
baltic rabbit poster,1,2,00:00:36,100.00%,0.00%
baltic shop book pusher,1,16,00:02:08,100.00%,0.00%
baltic shop bunny prints,1,1,00:00:00,0.00%,100.00%
baltic shop decoration,1,5,00:00:35,100.00%,0.00%
baltic shop edition prints,1,29,00:04:15,0.00%,0.00%
baltic shop japanese bunnies,1,2,00:00:05,100.00%,0.00%
baltic shop magazine,1,1,00:00:00,100.00%,100.00%
baltic shop products,1,21,00:04:01,100.00%,0.00%
baltic shop rene,1,2,00:00:04,100.00%,0.00%
baltic shop sharpener,1,1,00:00:00,100.00%,100.00%
baltic shop tea towel,1,1,00:00:00,0.00%,100.00%
baltic shop toronto,1,4,00:00:34,100.00%,0.00%
baltic shop tunnocks coasters,1,2,00:18:47,100.00%,0.00%
baltic shop whitby,1,1,00:00:00,0.00%,100.00%
baltic shopl,1,68,00:22:28,0.00%,0.00%
baltic shopping,1,5,00:01:01,100.00%,0.00%
baltic shopping centers,1,3,00:00:52,100.00%,0.00%
baltic souvenir online kaufen,1,4,00:00:28,100.00%,0.00%
baltic t shirt,1,5,00:01:34,100.00%,0.00%
baltic t-shirt,1,25,00:59:33,0.00%,0.00%
baltic tunnock,1,5,00:02:04,100.00%,0.00%
baltic uprisings kosyndan,1,4,00:00:21,100.00%,0.00%
baltic web site gifts,1,15,00:04:36,100.00%,0.00%
baltic why aye mug,1,2,00:00:15,100.00%,0.00%
balticmill.com/shop,1,7,00:01:59,100.00%,0.00%
baltiv shop,1,53,00:18:52,100.00%,0.00%
balyic shop,1,1,00:00:00,100.00%,100.00%
bento box the baltic,1,9,00:01:57,100.00%,0.00%
best mug silhouette,1,1,00:00:00,100.00%,100.00%
bird salad bowl,1,1,00:00:00,100.00%,100.00%
biscuit barrel,1,1,00:00:00,100.00%,100.00%
black and yellow tea towels,1,1,00:00:00,100.00%,100.00%
blatic shop,1,22,00:06:41,100.00%,0.00%
bookends design,1,2,00:00:13,100.00%,0.00%
bunny blossom baltic,1,10,00:04:29,0.00%,0.00%
bunny blossom print baltic,1,5,00:02:16,0.00%,0.00%
buy a george shaw print,1,5,00:00:21,100.00%,0.00%
